Outline_Level,Level_Label,Heading_Text,Start_Page,Page_Count
2,Outline Level 2,CUPRINS,7,2
2,Outline Level 2,TABLE OF CONTENTS,9,3
2,Outline Level 2,CONTENU,12,2
2,Outline Level 2,REZUMAT,14,1
2,Outline Level 2,SUMMARY,15,1
2,Outline Level 2,R É S U M Éde la thèse de doctorat,16,2
2,Outline Level 2,INTRODUCTION,18,1
1,Outline Level 1,Partea I: Studiu  Bibliografic Section I: Bibliographic  study,19,25
2,Outline Level 2,CHAPTER 1. CURRENT STATE OF DIGITALIZATION IN VETERINARY MEDICINE ,21,9
3,Outline Level 3,1.1 Introduction,21,1
3,Outline Level 3,1.2 Current State of Digitalization in Veterinary Education Globally,21,4
4,Outline Level 4,1.2.1 European Union Initiatives and Framework Programs,21,1
4,Outline Level 4,1.2.2 Technological Integration in Global Veterinary Education,22,2
5,Outline Level 5,1.2.2.1 Artificial Intelligence and Diagnostic Technologies,22,1
5,Outline Level 5,1.2.2.2 Digital Pathology and Virtual Microscopy,23,1
5,Outline Level 5,1.2.2.3 Virtual Reality and Simulation Technologies,23,1
5,Outline Level 5,1.2.2.4 Telemedicine and Remote Consultation,24,1
5,Outline Level 5,1.2.2.5 European Assessment and Accreditation Systems,24,1
4,Outline Level 4,1.2.3 National Recovery and Resilience Plan (PNRR) Investments,24,1
5,Outline Level 5,1.2.3.1 Overall PNRR Impact on Romanian Universities,24,1
5,Outline Level 5,1.2.3.2 Other Romanian University PNRR Projects,25,1
4,Outline Level 4,1.2.4 European Economic Area (EEA) Grants and Additional Funding,25,1
5,Outline Level 5,1.2.4.1 EEA Grants for Vocational Education and Training,25,1
5,Outline Level 5,1.2.4.2 Operational Programs and Structural Funds,25,1
3,Outline Level 3,1.3 Investment Mechanisms and Funding Strategies,25,3
4,Outline Level 4,1.3.1 European Union Funding Streams,25,1
5,Outline Level 5,1.3.1.1 Horizon Europe and Research Funding,25,1
5,Outline Level 5,1.3.1.2 Erasmus+ Program,26,1
4,Outline Level 4,1.3.2 National Investment Strategies,26,1
5,Outline Level 5,1.3.2.1 PNRR Implementation and Monitoring,26,1
5,Outline Level 5,1.3.2.2 Regional Development and Innovation,26,1
4,Outline Level 4,1.3.3 Private Sector and Industry Partnerships,26,1
5,Outline Level 5,1.3.3.1 Veterinary Technology Companies,26,1
5,Outline Level 5,1.3.3.2 International Partnerships and Knowledge Transfer,27,1
4,Outline Level 4,1.3.4 Challenges and Implementation Barriers,27,1
5,Outline Level 5,1.3.4.1 Technical Infrastructure Challenges,27,1
5,Outline Level 5,1.3.4.2 Regulatory and Accreditation Challenges,27,1
5,Outline Level 5,1.3.4.3 Human Resource and Training Challenges,27,1
5,Outline Level 5,1.3.4.4 Financial Sustainability,27,1
4,Outline Level 4,1.3.5 Future Directions and Recommendations,28,1
5,Outline Level 5,1.3.5.1 Institutional Strategy Development,28,1
5,Outline Level 5,1.3.5.2 Regional Collaboration and Resource Sharing,28,1
5,Outline Level 5,1.3.5.3 Industry-Academia Partnership Enhancement,28,1
5,Outline Level 5,1.3.5.4 Quality Assurance and Assessment Development,28,1
3,Outline Level 3,1.4 Conclusion,28,2
2,Outline Level 2,CHAPTER 2. DIGITAL TECHNOLOGIES USED IN EDUCATION,30,14
3,Outline Level 3,2.1. Introduction,30,1
3,Outline Level 3,2.2 Digital Pedagogy: Theoretical Framework and Contemporary Applications,30,1
4,Outline Level 4,2.2.1. Defining Digital Pedagogy,30,1
4,Outline Level 4,2.2.2 Types of Digital Resources Used for Teaching Purposes,31,1
3,Outline Level 3,2.3. Modern Teaching Methods and Digital Technology Integration,31,2
4,Outline Level 4,2.3.1 Artificial Intelligence in Educational Applications,32,1
4,Outline Level 4,2.3.2 Immersive Technologies: Virtual and Augmented Reality,32,1
4,Outline Level 4,2.3.3. Mobile Learning Technologies,32,1
3,Outline Level 3,2.4. Gamification in Educational Contexts,33,1
4,Outline Level 4,2.4.1. Key Effectiveness Factors,33,1
3,Outline Level 3,2.5. Emerging Technologies and Future Directions,33,1
4,Outline Level 4,2.5.1. Blockchain Technology in Education,33,1
4,Outline Level 4,2.5.2. Internet of Things (IoT) in Educational Environments,33,1
4,Outline Level 4,2.5.3. Social-Emotional Learning Technologies,34,1
3,Outline Level 3,2.6. Implementation Challenges and Considerations,34,1
4,Outline Level 4,2.6.1. Digital Divide and Accessibility,34,1
4,Outline Level 4,2.6.2. Pedagogical Adaptation Requirements,34,1
